gene_id	DRR357080	DRR357081	DRR357082	DRR357083	DRR357084
ENSG00000106261	390.0952205200455	365.8270284195342	282.9645767561663	248.03137465387982	423.2409374020726
ENSG00000106263	3142.823176097072	3422.122040754463	3323.724062655233	4119.20401917121	4762.651457728726
ENSG00000106266	266.56480484768804	416.91851014245196	324.1798467383503	304.64092467842806	457.0728978488527
ENSG00000106268	1812.6195508220212	2068.872989814168	1724.288945704716	1754.6496206499194	2073.363428983895
ENSG00000106278	159.58441543649874	176.7787227102676	40.61519651449192	52.83408048830015	63.0220240171492
ENSG00000106290	923.5896443174058	950.8715166160238	782.8681543745802	952.2665982300623	1172.7954571614628
ENSG00000106299	488.4914978847401	508.7673967049127	418.88730886865926	461.1908741183308	591.4371709663334
ENSG00000106302	1.1108360903121834	1.7345645196033337	0	2.576071220028964	0.8855292466987068
ENSG00000106304	0	0	0	0	0
ENSG00000106305	1250.1261922078684	1314.3523409597667	1520.9283681632787	1697.1782614667727	1751.432662917821
ENSG00000106327	3.548168224939062	9.249448871697663	6.19774579949859	3.661072499431867	13.50775140395737
ENSG00000106328	2.800767557511874	0	0.6228185757507863	4.836294330152683	1.9663498871883027
ENSG00000106330	991.4062347558546	1018.7460776094457	529.6790515547157	628.7166008043749	881.4104747827006
ENSG00000106331	0	0	0	0	0
ENSG00000106333	323.2156922466033	342.9215069472153	156.44043417945863	226.96196029358677	291.0631341666004
ENSG00000106336	14.817439448253925	12.55708884660553	16.205003300893242	11.189363678433217	8.628041777748045
ENSG00000106341	0	0	0	0	0
ENSG00000106344	376.32102961189634	386.1040451908392	490.9029766189833	527.1334125783742	584.0468744167156
ENSG00000106346	170.58973734288406	178.06224178309975	141.86638537771861	143.40765319813946	209.25696009893542
ENSG00000106348	1790.3337593730496	1773.005967933471	1967.8767701281936	2284.0024190846225	2600.47826405398
ENSG00000106351	731.1638016351264	664.6823269239683	501.4378010549312	607.4544733888641	844.0116427035898
ENSG00000106355	1459.6035998427712	1484.6371554442858	1489.872113980149	1717.1115275609427	1861.4675914227837
ENSG00000106366	157.4552888310017	160.2617696311951	942.7307266317115	998.0934165641162	1072.418300290052
ENSG00000106367	2023.188749400143	1838.4690267388576	2108.7148151306656	2044.6961349312062	2405.106031103973
ENSG00000106384	0.63190073252973	0.6470699129778953	1.705718467990224	1.2049413787906893	1.9089721104801582
ENSG00000106392	164.770603159776	178.93168371460322	171.40913827587866	130.92582359630003	187.79022319925977
ENSG00000106397	1060.8261315786176	1023.3071833109464	1055.7699698912334	1328.2010228839317	1579.9900339349476
ENSG00000106399	1441.6499134746616	1368.5306644486288	1334.6828689073163	1498.788504782425	1628.411708057165
ENSG00000106400	3257.0823361864364	3342.959532724541	2769.5278396668377	3145.68373330132	3945.8717886624167
ENSG00000106404	222.48444783086873	204.13785680576194	142.077134762034	164.47262856286054	245.2653017220107
ENSG00000106410	0	0	0	0	0
ENSG00000106415	54.30027058695666	39.218506106046775	53.191997141618096	29.729613102465443	88.56201609451753
ENSG00000106436	3.147380972083874	1.6731785314939813	0	3.1685230467069516	3.173912375911885
ENSG00000106443	480.0438545420623	493.30146446906366	413.2514892338701	445.6491710403738	562.3706398454254
ENSG00000106459	186.20088639472687	170.03906411499455	158.90705580250602	170.21763812062542	244.4106521644655
ENSG00000106460	496.8259444746257	520.3592241162363	380.08022961638846	351.0938225666674	495.36723457476074
